SKU,mes_label,volumen
30000049,Enero 2026,441.444
30000049,Febrero 2026,458.055
30000049,Marzo 2026,818.044
30000049,Abril 2026,820.634
30000049,Mayo 2026,559.578
30000049,Junio 2026,436.625
30000049,Julio 2026,615.983
30000049,Agosto 2026,459.19
30000049,Septiembre 2026,495.2
30000049,Octubre 2026,521.115
30000049,Noviembre 2026,574.8
30000049,Diciembre 2026,540.5
30000049,Enero 2027,432.65
30000049,Febrero 2027,490.513
30000049,Marzo 2027,743.535
30000049,Abril 2027,774.159
30000049,Mayo 2027,639.711
30000049,Junio 2027,582.101
30000049,Julio 2027,619.42
30000049,Agosto 2027,551.874
30000049,Septiembre 2027,521.949
30000049,Octubre 2027,486.253
30000049,Noviembre 2027,557.236
30000049,Diciembre 2027,586.801
30000050,Enero 2026,4.594
30000050,Febrero 2026,4.541
30000050,Marzo 2026,3.069
30000050,Abril 2026,3.349
30000050,Mayo 2026,2.162
30000050,Junio 2026,2.329
30000050,Julio 2026,3.616
30000050,Agosto 2026,2.58
30000050,Septiembre 2026,3.5
30000050,Octubre 2026,2.6
30000050,Noviembre 2026,2.9
30000050,Diciembre 2026,3.5
30000050,Enero 2027,3.953
30000050,Febrero 2027,3.58
30000050,Marzo 2027,3.768
30000050,Abril 2027,2.864
30000050,Mayo 2027,2.518
30000050,Junio 2027,3.274
30000050,Julio 2027,3.158
30000050,Agosto 2027,2.873
30000050,Septiembre 2027,3.139
30000050,Octubre 2027,3.476
30000050,Noviembre 2027,3.735
30000050,Diciembre 2027,3.423
30000052,Enero 2026,3.817
30000052,Febrero 2026,2.827
30000052,Marzo 2026,5.282
30000052,Abril 2026,3.942
30000052,Mayo 2026,3.85
30000052,Junio 2026,3.698
30000052,Julio 2026,4.295
30000052,Agosto 2026,3.559
30000052,Septiembre 2026,3.6
30000052,Octubre 2026,4.0
30000052,Noviembre 2026,3.712
30000052,Diciembre 2026,3.817
30000052,Enero 2027,3.466
30000052,Febrero 2027,3.133
30000052,Marzo 2027,4.417
30000052,Abril 2027,4.036
30000052,Mayo 2027,4.408
30000052,Junio 2027,4.391
30000052,Julio 2027,4.011
30000052,Agosto 2027,3.937
30000052,Septiembre 2027,3.889
30000052,Octubre 2027,4.148
30000052,Noviembre 2027,3.799
30000052,Diciembre 2027,4.213
30000053,Enero 2026,9.693
30000053,Febrero 2026,6.567
30000053,Marzo 2026,12.112
30000053,Abril 2026,10.556
30000053,Mayo 2026,10.195
30000053,Junio 2026,8.214
30000053,Julio 2026,7.51
30000053,Agosto 2026,7.028
30000053,Septiembre 2026,10.69
30000053,Octubre 2026,9.49
30000053,Noviembre 2026,8.69
30000053,Diciembre 2026,8.69
30000053,Enero 2027,8.563
30000053,Febrero 2027,7.738
30000053,Marzo 2027,10.91
30000053,Abril 2027,9.97
30000053,Mayo 2027,10.889
30000053,Junio 2027,10.846
30000053,Julio 2027,9.908
30000053,Agosto 2027,9.725
30000053,Septiembre 2027,9.607
30000053,Octubre 2027,10.246
30000053,Noviembre 2027,9.385
30000053,Diciembre 2027,10.406
30000054,Enero 2026,29.742
30000054,Febrero 2026,21.782
30000054,Marzo 2026,35.285
30000054,Abril 2026,31.399
30000054,Mayo 2026,19.839
30000054,Junio 2026,22.418
30000054,Julio 2026,23.834
30000054,Agosto 2026,24.256
30000054,Septiembre 2026,22.4
30000054,Octubre 2026,26.4
30000054,Noviembre 2026,26.817
30000054,Diciembre 2026,27.617
30000054,Enero 2027,23.831
30000054,Febrero 2027,21.536
30000054,Marzo 2027,30.363
30000054,Abril 2027,27.747
30000054,Mayo 2027,30.304
30000054,Junio 2027,30.186
30000054,Julio 2027,27.574
30000054,Agosto 2027,27.067
30000054,Septiembre 2027,26.736
30000054,Octubre 2027,28.516
30000054,Noviembre 2027,26.118
30000054,Diciembre 2027,28.962
30000055,Enero 2026,10.897
30000055,Febrero 2026,12.276
30000055,Marzo 2026,14.002
30000055,Abril 2026,10.948
30000055,Mayo 2026,9.19
30000055,Junio 2026,9.866
30000055,Julio 2026,9.548
30000055,Agosto 2026,9.06
30000055,Septiembre 2026,10.578
30000055,Octubre 2026,10.671
30000055,Noviembre 2026,10.678
30000055,Diciembre 2026,10.778
30000055,Enero 2027,13.271
30000055,Febrero 2027,12.018
30000055,Marzo 2027,12.649
30000055,Abril 2027,9.614
30000055,Mayo 2027,8.452
30000055,Junio 2027,10.992
30000055,Julio 2027,10.601
30000055,Agosto 2027,9.645
30000055,Septiembre 2027,10.536
30000055,Octubre 2027,11.67
30000055,Noviembre 2027,12.537
30000055,Diciembre 2027,11.49
30000057,Enero 2026,8.709
30000057,Febrero 2026,6.6
30000057,Marzo 2026,6.461
30000057,Abril 2026,11.313
30000057,Mayo 2026,4.75
30000057,Junio 2026,6.84
30000057,Julio 2026,5.809
30000057,Agosto 2026,4.918
30000057,Septiembre 2026,5.027
30000057,Octubre 2026,6.227
30000057,Noviembre 2026,6.927
30000057,Diciembre 2026,8.027
30000057,Enero 2027,7.993
30000057,Febrero 2027,7.03
30000057,Marzo 2027,6.503
30000057,Abril 2027,9.604
30000057,Mayo 2027,6.69
30000057,Junio 2027,6.135
30000057,Julio 2027,8.732
30000057,Agosto 2027,7.502
30000057,Septiembre 2027,4.969
30000057,Octubre 2027,7.737
30000057,Noviembre 2027,6.188
30000057,Diciembre 2027,8.106
30000066,Enero 2026,5.148
30000066,Febrero 2026,4.694
30000066,Marzo 2026,6.532
30000066,Abril 2026,6.017
30000066,Mayo 2026,6.774
30000066,Junio 2026,4.516
30000066,Julio 2026,7.455
30000066,Agosto 2026,5.738
30000066,Septiembre 2026,7.577
30000066,Octubre 2026,7.577
30000066,Noviembre 2026,7.933
30000066,Diciembre 2026,7.933
30000066,Enero 2027,5.841
30000066,Febrero 2027,5.815
30000066,Marzo 2027,6.255
30000066,Abril 2027,7.04
30000066,Mayo 2027,7.301
30000066,Junio 2027,6.403
30000066,Julio 2027,5.113
30000066,Agosto 2027,6.849
30000066,Septiembre 2027,7.342
30000066,Octubre 2027,6.013
30000066,Noviembre 2027,6.867
30000066,Diciembre 2027,9.248
30000067,Enero 2026,1.697
30000067,Febrero 2026,1.652
30000067,Marzo 2026,1.375
30000067,Abril 2026,1.614
30000067,Mayo 2026,1.415
30000067,Junio 2026,1.14
