SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30001872,MARGARINA SUREÑA DIET 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.216,0.3,0.2484,0.2484,0.0,0.0,0.3086999999999999
30001873,MARG SUREÑA POTE MIX 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.9989999999999999,1.3,1.0584,1.0584,0.0,0.0,1.338750000000001
30000067,MARGARINA PAMPERITA 40X250GR,PAMPERITA,MARGARINA REGULAR,MARGARINA REGULAR,Walmart,202534,202508,0.78,0.3,0.78,0.78,0.0,0.0,0.32725
30001342,SUREÑA MIX PAN 40X200,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Walmart,202534,202508,0.728,0.5,0.728,0.728,0.0,0.0,0.453
30001401,MARGARINA CALO 12X450GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Walmart,202534,202508,5.443200000000001,8.0,7.257600000000001,7.257600000000001,0.0,0.0,8.994150000000001
30001402,MARGARINA CALO LIGHT 12X450GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Walmart,202534,202508,2.7216,3.9,4.536,4.536,0.0,0.0,3.22155
30001872,MARGARINA SUREÑA DIET 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Walmart,202534,202508,0.378,0.7,0.378,0.378,0.0,0.0,0.33615
30001873,MARG SUREÑA POTE MIX 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Walmart,202534,202508,2.7216,5.0,3.6288,3.6288,0.0,0.0,4.1823
30000097,MARGARINA CALO MIX 12X350GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Alvi,202534,202508,0.2226,0.3,0.2226,0.2226,0.0,0.0,0.17885
30001861,MARGARINA SUREÑA 6X900GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Alvi,202534,202508,1.6092,1.5,1.6092,1.6092,0.0,0.0,1.17
30001871,MARGARINA SUREÑA 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Alvi,202534,202508,0.8154000000000001,1.3,0.8154000000000001,0.8154000000000001,0.0,0.0,1.0377
30000068,MARGARINA SUREÑA LIGHT 6X1KG,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Canal Tradicional,202534,202508,0.194,0.3,0.21,0.21,0.0,0.0,0.0
30000071,MARGARINA SUREÑA 12X500GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Canal Tradicional,202534,202508,0.008,0.0,0.0,0.0,0.0,0.0,0.0
30000088,MARG LONCO C/L SIN LACT 12X500GR,LONCOLECHE,MARGARINA FUNCIONAL,MARGARINA FUNCIONAL,Canal Tradicional,202534,202508,0.1645,0.3,0.18,0.18,0.0,0.0,0.0
30000097,MARGARINA CALO MIX 12X350GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Canal Tradicional,202534,202508,0.5827500000000001,1.4,0.5376000000000001,0.5376000000000001,0.0,0.0,0.0
30001861,MARGARINA SUREÑA 6X900GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Canal Tradicional,202534,202508,3.4947,6.0,3.726,3.699000000000001,0.0054,0.0,0.0
30001871,MARGARINA SUREÑA 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Canal Tradicional,202534,202508,7.2891,11.0,8.834400000000002,8.834400000000002,0.0,0.0,0.0
30001995,MARGARINA SUREÑA POT 24X250GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Canal Tradicional,202534,202508,0.4555,0.5,0.768,0.768,0.0,0.0,0.0
30000088,MARG LONCO C/L SIN LACT 12X500GR,LONCOLECHE,MARGARINA FUNCIONAL,MARGARINA FUNCIONAL,Cencosud,202534,202508,0.018,0.0,0.018,0.018,0.0,0.0,0.016985
30000097,MARGARINA CALO MIX 12X350GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Cencosud,202534,202508,0.525,0.4,0.6048,0.6048,0.0,0.0,0.4721500000000002
