SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30000674,ARVEJITAS WSL 48X300GR,WASIL,OTRAS CONSERVAS HORTALIZAS,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.1152,0.1154791037812205,0.1296,0.1152,0.0,0.0,0.0
30001142,MERM WATTS FCO DAMASCO 10X500GR,WATT'S,MERMELADAS FRASCOS,MERMELADAS,Supermercados Region,202610,202603,0.08,0.08672727272727275,0.08,0.08,0.0,0.0,0.0
30001143,MERM WATTS FRASCO MORA 10X500GR,WATT'S,MERMELADAS FRASCOS,MERMELADAS,Supermercados Region,202610,202603,0.125,0.1323636363636363,0.15,0.13,0.02,0.0,0.0
30001149,LECHE EVAPORADA S/LAC LONCO 30X200ML,LONCOLECHE,LECHE EVAPORADA,LECHE EVAPORADA,Supermercados Region,202610,202603,0.126,0.3,0.132,0.132,0.0,0.0,0.0
30001150,"CALO CRECER +1 BL 6X1,5KG",CALO,LECHE EN POLVO ESPECIAL INFANTIL,LECHES EN POLVO,Supermercados Region,202610,202603,0.126,0.06761833208114197,0.126,0.126,0.0,0.0,0.0
30001151,LENTEJAS NEGRAS WASIL 16X380GR,WASIL,LEGUMBRES CONSERVA,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.04864,0.0,0.05472,0.05472,0.0,0.0,0.0
30001152,TOMATE CUBITO WASIL 16X380GR,WASIL,OTRAS CONSERVAS HORTALIZAS,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.0304,0.03558689380016948,0.07296,0.0304,0.04255999999999999,0.0,0.0
30001158,ACEITE CRISTAL CHILE 12X900ML,CRISTAL,ACEITE CRISTAL MASIVO,ACEITES,Supermercados Region,202610,202603,0.0,0.0,0.25844,0.0,0.0,0.25844,0.0
30001362,ACEITE CHEF EXTRAVIRGEN 6X1LT,CHEF,ACEITE CHEF FAMILIAR,ACEITES,Supermercados Region,202610,202603,0.18768,0.22632,0.20424,0.20424,0.0,0.0,0.0
30001363,ACEITE CHEF EXTRAVIRGEN 12X250ML,CHEF,ACEITE CHEF TRADICIONAL,ACEITES,Supermercados Region,202610,202603,0.06348,0.07727999999999996,0.06624,0.06624,0.0,0.0,0.0
